# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.total.get.count,1734934450342000000,1734934510496000000,4010
workspaceModel.updates.count,1734934450342000000,1734934510496000000,3
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1734934450342000000,1734934510496000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1734934450342000000,1734934510496000000,0
workspaceModel.cachedValueWithParameters.clear.count,1734934450342000000,1734934510496000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1734934450342000000,1734934510496000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1734934450342000000,1734934510496000000,235
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1734934450342000000,1734934510496000000,0
workspaceModel.on.changed.ms,1734934450342000000,1734934510496000000,18
workspaceModel.workspaceFileIndexData.getPackageName.ms,1734934450342000000,1734934510496000000,0
workspaceModel.cachedValue.from.cache.count,1734934450342000000,1734934510496000000,4002
workspaceModel.workspaceFileIndexData.markDirty.ms,1734934450342000000,1734934510496000000,0
workspaceModel.check.recursive.update.ms,1734934450342000000,1734934510496000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1734934450342000000,1734934510496000000,19
workspaceModel.cachedValue.clear.count,1734934450342000000,1734934510496000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1734934450342000000,1734934510496000000,0
workspaceModel.updates.precise.ms,1734934450342000000,1734934510496000000,16
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1734934450342000000,1734934510496000000,0
workspaceModel.loading.total.ms,1734934450342000000,1734934510496000000,291
workspaceModel.to.snapshot.ms,1734934450342000000,1734934510496000000,0
workspaceModel.on.before.changed.ms,1734934450342000000,1734934510496000000,34
workspaceModel.init.bridges.ms,1734934450342000000,1734934510496000000,2
workspaceModel.updates.ms,1734934450342000000,1734934510496000000,72
workspaceModel.loading.from.cache.ms,1734934450342000000,1734934510496000000,272
workspaceModel.replace.project.model.ms,1734934450342000000,1734934510496000000,0
workspaceModel.initializing.ms,1734934450342000000,1734934510496000000,2
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1734934450342000000,1734934510496000000,1735
workspaceModel.pre.handlers.ms,1734934450342000000,1734934510496000000,1
workspaceModel.workspaceFileIndexData.init.ms,1734934450342000000,1734934510496000000,141
workspaceModel.cachedValue.calculated.count,1734934450342000000,1734934510496000000,8
