# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.maxThreadCount,1744538158350000000,1744538218586000000,80
JVM.usedHeapBytes,1744538158350000000,1744538218586000000,480772096
JVM.totalTimeAtSafepointsMs,1744538158350000000,1744538218586000000,817
JVM.newThreadsCount,1744538158350000000,1744538218586000000,104
OS.loadAverage,1744538158350000000,1744538218586000000,1.912109375
JVM.totalCpuTimeMs,1744538158350000000,1744538218586000000,106210
JVM.GC.collections,1744538158350000000,1744538218586000000,70
JVM.GC.collectionTimesMs,1744538158350000000,1744538218586000000,780
JVM.maxHeapBytes,1744538158350000000,1744538218586000000,2147483648
JVM.totalBytesAllocated,1744538158350000000,1744538218586000000,3451409392
JVM.totalTimeToSafepointsMs,1744538158350000000,1744538218586000000,94
JVM.threadCount,1744538158350000000,1744538218586000000,77
JVM.totalDirectByteBuffersBytes,1744538158350000000,1744538218586000000,172076982
JVM.usedNativeBytes,1744538158350000000,1744538218586000000,320536024
JVM.totalSafepointCount,1744538158350000000,1744538218586000000,244
IndexesFlusher.totalFlushingTimeUs,1744538158350000000,1744538218586000000,451526
Indexes.entries.lookupDurationMaxMs,1744538158350000000,1744538218586000000,0.0
Indexes.stubs.lookupDuration90PMs,1744538158350000000,1744538218586000000,0.0
IndexesFlusher.totalFlushes,1744538158350000000,1744538218586000000,57
Indexing.writer_3.totalTimeSpentWritingMs,1744538158350000000,1744538218586000000,0
Indexing.writesQueuedMax,1744538158350000000,1744538218586000000,0
Indexes.allKeys.lookupDurationAvgMs,1744538158350000000,1744538218586000000,0.0
Indexes.entries.lookupDurationAvgMs,1744538158350000000,1744538218586000000,0.0
Indexing.cache.totalCacheAccesses,1744538158350000000,1744538218586000000,5706
Indexes.allKeys.lookups,1744538158350000000,1744538218586000000,0
Indexing.writesQueuedMin,1744538158350000000,1744538218586000000,9223372036854775807
