# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writesQueuedAvg,1744305364997000000,1744305425012000000,0.0
Indexing.writesQueuedMin,1744305364997000000,1744305425012000000,0
Indexing.cache.totalCacheEvicted,1744305364997000000,1744305425012000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1744305364997000000,1744305425012000000,0
Indexing.cache.totalCacheAccesses,1744305364997000000,1744305425012000000,0
Indexing.writesQueuedMax,1744305364997000000,1744305425012000000,0
IndexesFlusher.totalFlushes,1744305364997000000,1744305425012000000,58
Indexing.cache.totalCacheMisses,1744305364997000000,1744305425012000000,0
IndexesFlusher.totalFlushingTimeUs,1744305364997000000,1744305425012000000,186661
Indexing.writer_1.totalTimeSpentWritingMs,1744305364997000000,1744305425012000000,0
Indexing.totalTimeIndexersSleptMs,1744305364997000000,1744305425012000000,0
IndexesFlusher.totalContentionQuotaSpent,1744305364997000000,1744305425012000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1744305364997000000,1744305425012000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1744305364997000000,1744305425012000000,0
IndexesFlusher.totalFlushesRetried,1744305364997000000,1744305425012000000,0
AWTEventQueue.dispatchTimeTotalNS,1744305364997000000,1744305425012000000,10635403141
FlushQueue.queueSizeAvg,1744305364997000000,1744305425012000000,35.71577899452464
FlushQueue.executionTime90PNs,1744305364997000000,1744305425012000000,1146879
FlushQueue.tasksExecuted,1744305364997000000,1744305425012000000,2009
AWTEventQueue.dispatchTimeMaxNs,1744305364997000000,1744305425012000000,675282943
FlushQueue.waitingTime90PNs,1744305364997000000,1744305425012000000,509607935
WriteAction.executionsCount,1744305364997000000,1744305425012000000,9
NonBlockingReadAction.finalizedExecutionsCount,1744305364997000000,1744305425012000000,34
AWTEventQueue.eventsDispatched,1744305364997000000,1744305425012000000,8642
AWTEventQueue.dispatchTime90PNs,1744305364997000000,1744305425012000000,516095
FlushQueue.queueSizeMax,1744305364997000000,1744305425012000000,137
NonBlockingReadAction.failedExecutionsCount,1744305364997000000,1744305425012000000,4
AWTEventQueue.dispatchTimeAvgNs,1744305364997000000,1744305425012000000,1230173.2543392733
FlushQueue.executionTimeMaxNs,1744305364997000000,1744305425012000000,675282943
NonBlockingReadAction.finalizedExecutionTimeUs,1744305364997000000,1744305425012000000,588558
ReadAction.executionsCount,1744305364997000000,1744305425012000000,42827
FlushQueue.executionTimeAvgNs,1744305364997000000,1744305425012000000,2263244.43802887
NonBlockingReadAction.failedExecutionTimeUs,1744305364997000000,1744305425012000000,516790
FlushQueue.queueSize90P,1744305364997000000,1744305425012000000,97
FlushQueue.waitingTimeAvgNs,1744305364997000000,1744305425012000000,1.6992886901543057E8
FlushQueue.waitingTimeMaxNs,1744305364997000000,1744305425012000000,1140850687
FileNameCache.totalMisses,1744305364997000000,1744305425012000000,2368
VFS.contentStorage.recordsStoredCompressed,1744305364997000000,1744305425012000000,0
FileNameCache.queries,1744305364997000000,1744305425012000000,87488
VFS.contentStorage.recordsStored,1744305364997000000,1744305425012000000,0
VFS.contentStorage.recordsReadSize,1744305364997000000,1744305425012000000,6134
VFS.contentStorage.recordsDeduplicated,1744305364997000000,1744305425012000000,0
VFS.fileChildByName,1744305364997000000,1744305425012000000,13465
VFS.contentStorage.recordsReadDecompressed,1744305364997000000,1744305425012000000,0
VFS.contentStorage.recordsUncompressedSize,1744305364997000000,1744305425012000000,0
VFS.contentStorage.recordsRead,1744305364997000000,1744305425012000000,5
VFS.fileByIdCache.misses,1744305364997000000,1744305425012000000,2
VFS.invertedFileNameIndex.requests,1744305364997000000,1744305425012000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1744305364997000000,1744305425012000000,0
VFS.fileByIdCache.hits,1744305364997000000,1744305425012000000,0
VFS.contentStorage.recordsStoredSize,1744305364997000000,1744305425012000000,0
JVM.totalBytesAllocated,1744305364997000000,1744305425012000000,2547687320
JVM.totalTimeToSafepointsMs,1744305364997000000,1744305425012000000,52
JVM.totalTimeAtSafepointsMs,1744305364997000000,1744305425012000000,527
JVM.maxThreadCount,1744305364997000000,1744305425012000000,123
JVM.GC.collections,1744305364997000000,1744305425012000000,40
JVM.totalDirectByteBuffersBytes,1744305364997000000,1744305425012000000,114741109
JVM.totalSafepointCount,1744305364997000000,1744305425012000000,152
JVM.usedHeapBytes,1744305364997000000,1744305425012000000,443446328
JVM.threadCount,1744305364997000000,1744305425012000000,118
JVM.GC.collectionTimesMs,1744305364997000000,1744305425012000000,501
JVM.usedNativeBytes,1744305364997000000,1744305425012000000,289845984
JVM.maxHeapBytes,1744305364997000000,1744305425012000000,2147483648
OS.loadAverage,1744305364997000000,1744305425012000000,0.94775390625
JVM.totalCpuTimeMs,1744305364997000000,1744305425012000000,88670
JVM.newThreadsCount,1744305364997000000,1744305425012000000,149
cacheStateStorage.set.counter,1744305364997000000,1744305425012000000,4
cacheStateStorage.get.duration,1744305364997000000,1744305425012000000,142
cacheStateStorage.set.duration,1744305364997000000,1744305425012000000,97
cacheStateStorage.get.counter,1744305364997000000,1744305425012000000,46
writeAction.wait.ms,1744305364997000000,1744305425012000000,30
parser.Python.size.bytes,1744305364997000000,1744305425012000000,4814
DiskQueryRelay.taskWaitingTotalTimeUs,1744305364997000000,1744305425012000000,1377309
writeAction.max.wait.ms,1744305364997000000,1744305425012000000,13
writeAction.median.wait.ms,1744305364997000000,1744305425012000000,0
parser.Python.time.ns,1744305364997000000,1744305425012000000,91164706
DiskQueryRelay.taskExecutionTotalTimeUs,1744305364997000000,1744305425012000000,1167676
lexer.Python.size.bytes,1744305364997000000,1744305425012000000,4814
writeAction.count,1744305364997000000,1744305425012000000,9
